date,count
27/04/2023,61
26/04/2023,67
25/04/2023,42
24/04/2023,38
23/04/2023,107
22/04/2023,107
21/04/2023,107
20/04/2023,52
19/04/2023,54
18/04/2023,35
17/04/2023,88
16/04/2023,41
15/04/2023,41
14/04/2023,41
13/04/2023,47
12/04/2023,34
11/04/2023,26
10/04/2023,29
09/04/2023,44
08/04/2023,44
07/04/2023,44
06/04/2023,79
05/04/2023,115
04/04/2023,86
03/04/2023,31
02/04/2023,33
01/04/2023,33
31/03/2023,33
30/03/2023,63
29/03/2023,26
28/03/2023,68
27/03/2023,58
26/03/2023,22
25/03/2023,22
24/03/2023,22
23/03/2023,30
22/03/2023,20
21/03/2023,254
20/03/2023,254
19/03/2023,33
18/03/2023,33
17/03/2023,33
16/03/2023,139
15/03/2023,43
14/03/2023,417
13/03/2023,136
12/03/2023,138
11/03/2023,138
10/03/2023,138
09/03/2023,50
08/03/2023,27
07/03/2023,16
06/03/2023,17
05/03/2023,13
04/03/2023,13
03/03/2023,13
02/03/2023,30
01/03/2023,37
28/02/2023,35
27/02/2023,88
26/02/2023,46
25/02/2023,46
24/02/2023,46
23/02/2023,58
22/02/2023,58
21/02/2023,26
20/02/2023,38
19/02/2023,59
18/02/2023,59
17/02/2023,59
16/02/2023,25
15/02/2023,165
14/02/2023,97
13/02/2023,143
12/02/2023,106
11/02/2023,106
10/02/2023,106
09/02/2023,37
08/02/2023,38
07/02/2023,34
06/02/2023,45
05/02/2023,44
04/02/2023,44
03/02/2023,44
02/02/2023,27
01/02/2023,55
31/01/2023,49
30/01/2023,65
29/01/2023,40
28/01/2023,40
27/01/2023,40
26/01/2023,29
25/01/2023,9
24/01/2023,17
23/01/2023,22
22/01/2023,26
21/01/2023,26
20/01/2023,26
19/01/2023,33
18/01/2023,18
17/01/2023,33
16/01/2023,140
15/01/2023,65
14/01/2023,65
13/01/2023,65
12/01/2023,50
11/01/2023,15
10/01/2023,20
09/01/2023,20
08/01/2023,20
07/01/2023,20
06/01/2023,20
05/01/2023,67
04/01/2023,204
03/01/2023,25
02/01/2023,25
01/01/2023,25
31/12/2022,25
30/12/2022,25
29/12/2022,57
28/12/2022,80
27/12/2022,18
26/12/2022,79
25/12/2022,135
24/12/2022,135
23/12/2022,135
22/12/2022,44
21/12/2022,72
20/12/2022,595
19/12/2022,96
18/12/2022,97
17/12/2022,97
16/12/2022,97
15/12/2022,48
14/12/2022,31
13/12/2022,35
12/12/2022,52
11/12/2022,19
10/12/2022,19
09/12/2022,19
08/12/2022,51
07/12/2022,31
06/12/2022,71
05/12/2022,104
04/12/2022,62
03/12/2022,62
02/12/2022,62
01/12/2022,29
30/11/2022,55
29/11/2022,39
28/11/2022,53
27/11/2022,11
26/11/2022,11
25/11/2022,11
24/11/2022,8
23/11/2022,35
22/11/2022,35
21/11/2022,31
20/11/2022,46
19/11/2022,46
18/11/2022,46
17/11/2022,35
16/11/2022,50
15/11/2022,129
14/11/2022,185
13/11/2022,76
12/11/2022,76
11/11/2022,76
10/11/2022,88
09/11/2022,82
08/11/2022,36
07/11/2022,46
06/11/2022,90
05/11/2022,90
04/11/2022,90
03/11/2022,70
02/11/2022,70
01/11/2022,53
31/10/2022,40
30/10/2022,62
29/10/2022,62
28/10/2022,62
27/10/2022,46
26/10/2022,42
25/10/2022,15
24/10/2022,48
23/10/2022,64
22/10/2022,64
21/10/2022,64
20/10/2022,38
19/10/2022,25
18/10/2022,16
17/10/2022,75
16/10/2022,29
15/10/2022,29
14/10/2022,29
13/10/2022,134
12/10/2022,55
11/10/2022,211
10/10/2022,56
09/10/2022,56
08/10/2022,56
07/10/2022,56
06/10/2022,31
05/10/2022,23
04/10/2022,11
03/10/2022,50
02/10/2022,127
01/10/2022,127
30/09/2022,127
29/09/2022,63
28/09/2022,148
27/09/2022,16
26/09/2022,324
25/09/2022,28
24/09/2022,28
23/09/2022,28
22/09/2022,28
21/09/2022,102
20/09/2022,71
19/09/2022,180
18/09/2022,180
17/09/2022,180
16/09/2022,180
15/09/2022,58
14/09/2022,61
13/09/2022,43
12/09/2022,25
11/09/2022,21
10/09/2022,21
09/09/2022,21
08/09/2022,25
07/09/2022,81
06/09/2022,47
05/09/2022,20
04/09/2022,82
03/09/2022,82
02/09/2022,82
01/09/2022,119
31/08/2022,42
30/08/2022,37
29/08/2022,128
28/08/2022,24
27/08/2022,24
26/08/2022,24
25/08/2022,22
24/08/2022,23
23/08/2022,23
22/08/2022,89
21/08/2022,29
20/08/2022,29
19/08/2022,29
18/08/2022,43
17/08/2022,17
16/08/2022,48
15/08/2022,132
14/08/2022,60
13/08/2022,60
12/08/2022,60
11/08/2022,143
10/08/2022,143
09/08/2022,62
08/08/2022,89
07/08/2022,53
06/08/2022,53
05/08/2022,53
04/08/2022,45
03/08/2022,48
02/08/2022,76
01/08/2022,47
31/07/2022,63
30/07/2022,63
29/07/2022,63
28/07/2022,46
27/07/2022,38
26/07/2022,26
25/07/2022,76
24/07/2022,39
23/07/2022,39
22/07/2022,39
21/07/2022,11
20/07/2022,29
19/07/2022,71
18/07/2022,56
17/07/2022,56
16/07/2022,56
15/07/2022,56
14/07/2022,38
13/07/2022,31
12/07/2022,131
11/07/2022,38
10/07/2022,27
09/07/2022,27
08/07/2022,27
07/07/2022,57
06/07/2022,92
05/07/2022,27
04/07/2022,68
03/07/2022,202
02/07/2022,202
01/07/2022,202
30/06/2022,134
29/06/2022,73
28/06/2022,11
27/06/2022,33
26/06/2022,18
25/06/2022,18
24/06/2022,18
23/06/2022,43
22/06/2022,107
21/06/2022,12
20/06/2022,189
19/06/2022,220
18/06/2022,220
17/06/2022,220
16/06/2022,69
15/06/2022,188
14/06/2022,96
13/06/2022,377
12/06/2022,79
11/06/2022,79
10/06/2022,79
09/06/2022,37
08/06/2022,20
07/06/2022,72
06/06/2022,23
05/06/2022,20
04/06/2022,20
03/06/2022,20
02/06/2022,83
01/06/2022,25
31/05/2022,44
30/05/2022,25
29/05/2022,44
28/05/2022,44
27/05/2022,44
26/05/2022,22
25/05/2022,127
24/05/2022,160
23/05/2022,29
22/05/2022,30
21/05/2022,30
20/05/2022,30
19/05/2022,133
18/05/2022,26
17/05/2022,115
16/05/2022,258
15/05/2022,89
14/05/2022,89
