date,count
11/05/2021,25
11/04/2021,24
11/03/2021,29
11/02/2021,29
11/01/2021,21
10/31/2021,24
10/30/2021,24
10/29/2021,24
10/28/2021,16
10/27/2021,15
10/26/2021,15
10/25/2021,13
10/24/2021,12
10/23/2021,12
10/22/2021,12
10/21/2021,12
10/20/2021,15
10/19/2021,14
10/18/2021,17
10/17/2021,18
10/16/2021,18
10/15/2021,18
10/14/2021,21
10/13/2021,22
10/12/2021,15
10/11/2021,18
10/10/2021,19
10/09/2021,19
10/08/2021,19
10/07/2021,17
10/06/2021,19
10/05/2021,23
10/04/2021,22
10/03/2021,24
10/02/2021,24
10/01/2021,24
09/30/2021,20
09/29/2021,23
09/28/2021,17
09/27/2021,24
09/26/2021,31
09/25/2021,31
09/24/2021,31
09/23/2021,33
09/22/2021,24
09/21/2021,34
09/20/2021,32
09/19/2021,14
09/18/2021,14
09/17/2021,14
09/16/2021,10
09/15/2021,16
09/14/2021,11
09/13/2021,15
09/12/2021,15
09/11/2021,15
09/10/2021,15
09/09/2021,17
09/08/2021,15
09/07/2021,10
09/06/2021,10
09/05/2021,12
09/04/2021,12
09/03/2021,12
09/02/2021,12
09/01/2021,13
08/31/2021,7
08/30/2021,13
08/29/2021,11
08/28/2021,11
08/27/2021,11
08/26/2021,14
08/25/2021,17
08/24/2021,22
08/23/2021,39
08/22/2021,54
08/21/2021,54
08/20/2021,54
08/19/2021,33
08/18/2021,22
08/17/2021,19
08/16/2021,14
08/15/2021,12
08/14/2021,12
08/13/2021,12
08/12/2021,14
08/11/2021,18
08/10/2021,13
08/09/2021,19
08/08/2021,25
08/07/2021,25
08/06/2021,25
08/05/2021,29
08/04/2021,27
08/03/2021,23
08/02/2021,22
08/01/2021,27
07/31/2021,27
07/30/2021,27
07/29/2021,14
07/28/2021,17
07/27/2021,16
07/26/2021,19
07/25/2021,21
07/24/2021,21
07/23/2021,21
07/22/2021,17
07/21/2021,16
07/20/2021,16
07/19/2021,17
07/18/2021,9
07/17/2021,9
07/16/2021,9
07/15/2021,17
07/14/2021,8
07/13/2021,10
07/12/2021,12
07/11/2021,17
07/10/2021,17
07/09/2021,17
07/08/2021,16
07/07/2021,13
07/06/2021,8
07/05/2021,8
07/04/2021,9
07/03/2021,9
07/02/2021,9
07/01/2021,11
06/30/2021,19
06/29/2021,25
06/28/2021,26
06/27/2021,28
06/26/2021,28
06/25/2021,28
06/24/2021,23
06/23/2021,34
06/22/2021,33
06/21/2021,51
06/20/2021,23
06/19/2021,23
06/18/2021,23
06/17/2021,33
06/16/2021,27
06/15/2021,21
06/14/2021,19
06/13/2021,19
06/12/2021,19
06/11/2021,19
06/10/2021,15
06/09/2021,23
06/08/2021,25
06/07/2021,20
06/06/2021,21
06/05/2021,21
06/04/2021,21
06/03/2021,23
06/02/2021,22
06/01/2021,19
05/31/2021,17
05/30/2021,17
05/29/2021,17
05/28/2021,17
05/27/2021,20
05/26/2021,17
05/25/2021,24
05/24/2021,23
05/23/2021,23
05/22/2021,23
05/21/2021,23
05/20/2021,30
05/19/2021,27
05/18/2021,26
05/17/2021,39
05/16/2021,40
05/15/2021,40
05/14/2021,40
05/13/2021,49
05/12/2021,49
05/11/2021,45
05/10/2021,34
05/09/2021,40
05/08/2021,40
05/07/2021,40
05/06/2021,41
05/05/2021,29
05/04/2021,25
05/03/2021,30
05/02/2021,22
05/01/2021,22
04/30/2021,22
04/29/2021,22
04/28/2021,21
04/27/2021,27
04/26/2021,25
04/25/2021,28
04/24/2021,28
04/23/2021,28
04/22/2021,27
04/21/2021,30
04/20/2021,20
04/19/2021,21
04/18/2021,21
04/17/2021,21
04/16/2021,21
04/15/2021,23
04/14/2021,19
04/13/2021,27
04/12/2021,27
04/11/2021,25
04/10/2021,25
04/09/2021,25
04/08/2021,26
04/07/2021,31
04/06/2021,32
04/05/2021,29
04/04/2021,29
04/03/2021,29
04/02/2021,29
04/01/2021,29
03/31/2021,38
03/30/2021,34
03/29/2021,28
03/28/2021,22
03/27/2021,22
03/26/2021,22
03/25/2021,20
03/24/2021,23
03/23/2021,23
03/22/2021,17
03/21/2021,18
03/20/2021,18
03/19/2021,18
03/18/2021,14
03/17/2021,13
03/16/2021,16
03/15/2021,17
03/14/2021,19
03/13/2021,19
03/12/2021,19
03/11/2021,27
03/10/2021,44
03/09/2021,46
03/08/2021,54
03/07/2021,65
03/06/2021,65
03/05/2021,65
03/04/2021,72
03/03/2021,43
03/02/2021,56
03/01/2021,47
02/28/2021,33
02/27/2021,33
02/26/2021,33
02/25/2021,29
02/24/2021,30
02/23/2021,36
02/22/2021,27
02/21/2021,29
02/20/2021,29
02/19/2021,29
02/18/2021,37
02/17/2021,35
02/16/2021,27
02/15/2021,32
02/14/2021,23
02/13/2021,23
02/12/2021,23
02/11/2021,21
02/10/2021,26
02/09/2021,17
02/08/2021,22
