date,count
27/04/2023,2072
26/04/2023,2035
25/04/2023,2500
24/04/2023,2541
23/04/2023,2484
22/04/2023,2484
21/04/2023,2484
20/04/2023,2644
19/04/2023,2640
18/04/2023,2765
17/04/2023,2676
16/04/2023,2756
15/04/2023,2756
14/04/2023,2756
13/04/2023,2645
12/04/2023,2617
11/04/2023,2456
10/04/2023,2167
09/04/2023,1827
08/04/2023,1827
07/04/2023,1827
06/04/2023,1619
05/04/2023,2028
04/04/2023,2816
03/04/2023,2927
02/04/2023,2575
01/04/2023,2575
31/03/2023,2575
30/03/2023,2271
29/03/2023,2106
28/03/2023,1449
27/03/2023,1617
26/03/2023,1363
25/03/2023,1363
24/03/2023,1363
23/03/2023,1335
22/03/2023,1166
21/03/2023,770
20/03/2023,770
19/03/2023,1247
18/03/2023,1247
17/03/2023,1247
16/03/2023,936
15/03/2023,1383
14/03/2023,967
13/03/2023,2081
12/03/2023,2759
11/03/2023,2759
10/03/2023,2759
09/03/2023,3180
08/03/2023,3076
07/03/2023,3011
06/03/2023,2923
05/03/2023,2775
04/03/2023,2775
03/03/2023,2775
02/03/2023,2580
01/03/2023,2602
28/02/2023,2571
27/02/2023,2529
26/02/2023,2431
25/02/2023,2431
24/02/2023,2431
23/02/2023,2172
22/02/2023,2172
21/02/2023,2419
20/02/2023,2376
19/02/2023,2169
18/02/2023,2169
17/02/2023,2169
16/02/2023,2341
15/02/2023,2125
14/02/2023,2369
13/02/2023,2178
12/02/2023,2468
11/02/2023,2468
10/02/2023,2468
09/02/2023,2690
08/02/2023,2677
07/02/2023,2653
06/02/2023,2689
05/02/2023,2586
04/02/2023,2586
03/02/2023,2586
02/02/2023,2892
01/02/2023,3080
31/01/2023,3134
30/01/2023,3100
29/01/2023,3202
28/01/2023,3202
27/01/2023,3202
26/01/2023,3194
25/01/2023,3239
24/01/2023,3160
23/01/2023,2935
22/01/2023,2570
21/01/2023,2570
20/01/2023,2570
19/01/2023,2246
18/01/2023,2376
17/01/2023,1844
16/01/2023,1443
15/01/2023,1574
14/01/2023,1574
13/01/2023,1574
12/01/2023,1727
11/01/2023,1747
10/01/2023,1363
09/01/2023,1177
08/01/2023,1177
07/01/2023,1177
06/01/2023,1177
05/01/2023,1007
04/01/2023,1092
03/01/2023,1456
02/01/2023,1456
01/01/2023,1456
31/12/2022,1456
30/12/2022,1456
29/12/2022,1325
28/12/2022,1214
27/12/2022,1175
26/12/2022,965
25/12/2022,847
24/12/2022,847
23/12/2022,847
22/12/2022,882
21/12/2022,638
20/12/2022,727
19/12/2022,1277
18/12/2022,1408
17/12/2022,1408
16/12/2022,1408
15/12/2022,1874
14/12/2022,1800
13/12/2022,1600
12/12/2022,1550
11/12/2022,1570
10/12/2022,1570
09/12/2022,1570
08/12/2022,1359
07/12/2022,1475
06/12/2022,1375
