date,count
09/05/2022,685
09/04/2022,729
09/03/2022,729
09/02/2022,729
09/01/2022,766
08/31/2022,900
08/30/2022,875
08/29/2022,784
08/28/2022,1071
08/27/2022,1071
08/26/2022,1071
08/25/2022,1024
08/24/2022,973
08/23/2022,969
08/22/2022,1168
08/21/2022,1358
08/20/2022,1358
08/19/2022,1358
08/18/2022,1361
08/17/2022,1452
08/16/2022,1513
08/15/2022,1539
08/14/2022,1517
08/13/2022,1517
08/12/2022,1517
08/11/2022,1590
08/10/2022,1525
08/09/2022,1583
08/08/2022,1565
08/07/2022,1571
08/06/2022,1571
08/05/2022,1571
08/04/2022,1542
08/03/2022,1514
08/02/2022,1513
08/01/2022,1573
07/31/2022,1610
07/30/2022,1610
07/29/2022,1610
07/28/2022,1568
07/27/2022,1470
07/26/2022,1473
07/25/2022,1493
07/24/2022,1522
07/23/2022,1522
07/22/2022,1522
07/21/2022,1455
07/20/2022,1434
07/19/2022,1248
07/18/2022,1274
07/17/2022,1166
07/16/2022,1166
07/15/2022,1166
07/14/2022,1178
07/13/2022,1156
07/12/2022,1135
07/11/2022,1219
07/10/2022,1255
07/09/2022,1255
07/08/2022,1255
07/07/2022,1075
07/06/2022,970
07/05/2022,922
07/04/2022,767
07/03/2022,580
07/02/2022,580
07/01/2022,580
06/30/2022,482
06/29/2022,497
06/28/2022,554
06/27/2022,473
06/26/2022,337
06/25/2022,337
06/24/2022,337
06/23/2022,224
06/22/2022,200
06/21/2022,192
06/20/2022,175
06/19/2022,189
06/18/2022,189
06/17/2022,189
06/16/2022,196
06/15/2022,164
06/14/2022,165
06/13/2022,379
06/12/2022,379
06/11/2022,379
06/10/2022,379
06/09/2022,534
06/08/2022,645
06/07/2022,621
06/06/2022,767
06/05/2022,849
06/04/2022,849
06/03/2022,849
06/02/2022,744
06/01/2022,834
05/31/2022,996
05/30/2022,959
05/29/2022,693
05/28/2022,693
05/27/2022,693
05/26/2022,587
05/25/2022,576
05/24/2022,512
05/23/2022,534
05/22/2022,479
05/21/2022,479
05/20/2022,479
05/19/2022,347
05/18/2022,439
05/17/2022,323
05/16/2022,284
05/15/2022,256
05/14/2022,256
05/13/2022,256
05/12/2022,198
05/11/2022,244
05/10/2022,213
05/09/2022,279
05/08/2022,375
05/07/2022,375
05/06/2022,375
05/05/2022,534
05/04/2022,449
05/03/2022,518
05/02/2022,553
05/01/2022,750
04/30/2022,750
04/29/2022,750
04/28/2022,624
04/27/2022,596
04/26/2022,705
04/25/2022,965
04/24/2022,965
04/23/2022,965
04/22/2022,965
04/21/2022,1087
04/20/2022,1075
04/19/2022,1102
04/18/2022,1077
04/17/2022,1077
04/16/2022,1077
04/15/2022,1077
04/14/2022,1077
04/13/2022,1019
04/12/2022,948
04/11/2022,1097
04/10/2022,1185
04/09/2022,1185
04/08/2022,1185
04/07/2022,1123
04/06/2022,1228
04/05/2022,1321
04/04/2022,1363
04/03/2022,1333
04/02/2022,1333
04/01/2022,1333
03/31/2022,1367
03/30/2022,1314
03/29/2022,1289
03/28/2022,1215
03/27/2022,1286
03/26/2022,1286
03/25/2022,1286
03/24/2022,1273
03/23/2022,1296
03/22/2022,1198
03/21/2022,1143
03/20/2022,1076
03/19/2022,1076
03/18/2022,1076
03/17/2022,962
03/16/2022,756
03/15/2022,649
03/14/2022,749
03/13/2022,698
03/12/2022,698
03/11/2022,698
03/10/2022,713
03/09/2022,602
03/08/2022,506
03/07/2022,569
