date,count
11/05/2021,162
11/04/2021,169
11/03/2021,189
11/02/2021,221
11/01/2021,213
10/31/2021,177
10/30/2021,177
10/29/2021,177
10/28/2021,249
10/27/2021,219
10/26/2021,186
10/25/2021,187
10/24/2021,182
10/23/2021,182
10/22/2021,182
10/21/2021,189
10/20/2021,149
10/19/2021,160
10/18/2021,175
10/17/2021,140
10/16/2021,140
10/15/2021,140
10/14/2021,128
10/13/2021,143
10/12/2021,195
10/11/2021,143
10/10/2021,108
10/09/2021,108
10/08/2021,108
10/07/2021,142
10/06/2021,171
10/05/2021,278
10/04/2021,175
10/03/2021,193
10/02/2021,193
10/01/2021,193
09/30/2021,159
09/29/2021,220
09/28/2021,248
09/27/2021,197
09/26/2021,165
09/25/2021,165
09/24/2021,165
09/23/2021,134
09/22/2021,151
09/21/2021,260
09/20/2021,537
09/19/2021,217
09/18/2021,217
09/17/2021,217
09/16/2021,166
09/15/2021,165
09/14/2021,153
09/13/2021,185
09/12/2021,134
09/11/2021,134
09/10/2021,134
09/09/2021,329
09/08/2021,210
09/07/2021,195
09/06/2021,202
09/05/2021,123
09/04/2021,123
09/03/2021,123
09/02/2021,155
09/01/2021,190
08/31/2021,159
08/30/2021,150
08/29/2021,169
08/28/2021,169
08/27/2021,169
08/26/2021,195
08/25/2021,140
08/24/2021,148
08/23/2021,152
08/22/2021,301
08/21/2021,301
08/20/2021,301
08/19/2021,223
08/18/2021,223
08/17/2021,318
08/16/2021,271
08/15/2021,152
08/14/2021,152
08/13/2021,152
08/12/2021,135
08/11/2021,188
08/10/2021,170
08/09/2021,205
08/08/2021,165
08/07/2021,165
08/06/2021,165
08/05/2021,197
08/04/2021,193
08/03/2021,189
08/02/2021,218
08/01/2021,162
07/31/2021,162
07/30/2021,162
07/29/2021,131
07/28/2021,220
07/27/2021,194
07/26/2021,199
07/25/2021,131
07/24/2021,131
07/23/2021,131
07/22/2021,129
07/21/2021,136
07/20/2021,268
07/19/2021,317
07/18/2021,135
07/17/2021,135
07/16/2021,135
07/15/2021,166
07/14/2021,176
07/13/2021,153
07/12/2021,155
07/11/2021,185
07/10/2021,185
07/09/2021,185
07/08/2021,155
07/07/2021,164
07/06/2021,199
07/05/2021,178
07/04/2021,116
07/03/2021,116
07/02/2021,116
07/01/2021,111
06/30/2021,165
06/29/2021,200
06/28/2021,259
06/27/2021,161
06/26/2021,161
06/25/2021,161
06/24/2021,152
06/23/2021,195
06/22/2021,160
06/21/2021,364
06/20/2021,132
06/19/2021,132
06/18/2021,132
06/17/2021,293
06/16/2021,262
06/15/2021,240
06/14/2021,121
06/13/2021,121
06/12/2021,121
06/11/2021,121
06/10/2021,157
06/09/2021,168
06/08/2021,185
06/07/2021,191
06/06/2021,216
06/05/2021,216
06/04/2021,216
06/03/2021,144
06/02/2021,176
06/01/2021,217
05/31/2021,188
05/30/2021,157
05/29/2021,157
05/28/2021,157
05/27/2021,160
05/26/2021,149
05/25/2021,175
05/24/2021,217
05/23/2021,134
05/22/2021,134
05/21/2021,134
05/20/2021,182
05/19/2021,215
05/18/2021,135
05/17/2021,204
05/16/2021,168
05/15/2021,168
05/14/2021,168
05/13/2021,292
05/12/2021,228
05/11/2021,352
05/10/2021,199
05/09/2021,176
05/08/2021,176
05/07/2021,176
05/06/2021,224
05/05/2021,273
05/04/2021,198
05/03/2021,279
05/02/2021,200
05/01/2021,200
04/30/2021,200
04/29/2021,153
04/28/2021,203
04/27/2021,183
04/26/2021,166
04/25/2021,176
04/24/2021,176
04/23/2021,176
04/22/2021,149
04/21/2021,233
04/20/2021,205
04/19/2021,190
04/18/2021,126
04/17/2021,126
04/16/2021,126
04/15/2021,150
04/14/2021,156
04/13/2021,178
04/12/2021,233
04/11/2021,119
04/10/2021,119
04/09/2021,119
04/08/2021,126
04/07/2021,173
04/06/2021,183
04/05/2021,135
04/04/2021,135
04/03/2021,135
04/02/2021,135
04/01/2021,135
03/31/2021,210
03/30/2021,281
03/29/2021,185
03/28/2021,168
03/27/2021,168
03/26/2021,168
03/25/2021,213
03/24/2021,238
03/23/2021,202
03/22/2021,215
03/21/2021,185
03/20/2021,185
03/19/2021,185
03/18/2021,147
03/17/2021,172
03/16/2021,152
03/15/2021,167
03/14/2021,117
03/13/2021,117
03/12/2021,117
