date,count
17/04/2023,829
16/04/2023,830
15/04/2023,830
14/04/2023,830
13/04/2023,830
12/04/2023,868
11/04/2023,981
10/04/2023,1078
09/04/2023,1116
08/04/2023,1116
07/04/2023,1116
06/04/2023,1116
05/04/2023,1225
04/04/2023,1388
03/04/2023,1388
02/04/2023,1489
01/04/2023,1489
31/03/2023,1489
30/03/2023,1568
29/03/2023,1568
28/03/2023,1623
27/03/2023,1598
26/03/2023,1562
25/03/2023,1562
24/03/2023,1562
23/03/2023,1486
22/03/2023,1508
21/03/2023,1527
20/03/2023,1572
19/03/2023,1527
18/03/2023,1527
17/03/2023,1527
16/03/2023,1559
15/03/2023,1546
14/03/2023,1535
13/03/2023,1511
12/03/2023,1380
11/03/2023,1380
10/03/2023,1380
09/03/2023,1351
08/03/2023,1330
07/03/2023,1384
06/03/2023,1384
05/03/2023,1397
04/03/2023,1397
03/03/2023,1397
02/03/2023,1461
01/03/2023,1446
28/02/2023,1509
27/02/2023,1530
26/02/2023,1456
25/02/2023,1456
24/02/2023,1456
23/02/2023,1437
22/02/2023,1462
21/02/2023,1395
20/02/2023,1393
19/02/2023,1395
18/02/2023,1395
17/02/2023,1395
16/02/2023,1375
15/02/2023,1418
14/02/2023,1435
13/02/2023,1397
12/02/2023,1340
11/02/2023,1340
10/02/2023,1340
09/02/2023,1380
08/02/2023,1398
07/02/2023,1437
06/02/2023,1448
05/02/2023,1470
04/02/2023,1470
03/02/2023,1470
02/02/2023,1444
01/02/2023,1444
31/01/2023,1348
30/01/2023,1484
29/01/2023,1453
28/01/2023,1453
27/01/2023,1453
26/01/2023,1290
25/01/2023,1290
24/01/2023,1191
23/01/2023,1137
22/01/2023,1119
21/01/2023,1119
20/01/2023,1119
19/01/2023,1082
18/01/2023,1064
17/01/2023,1089
16/01/2023,1091
15/01/2023,1098
14/01/2023,1098
13/01/2023,1098
12/01/2023,1118
11/01/2023,1084
10/01/2023,1108
09/01/2023,1058
08/01/2023,1111
07/01/2023,1111
06/01/2023,1111
05/01/2023,1043
04/01/2023,1054
03/01/2023,959
02/01/2023,997
01/01/2023,1102
31/12/2022,1102
30/12/2022,1102
29/12/2022,1158
28/12/2022,1161
27/12/2022,1211
26/12/2022,1319
25/12/2022,1500
24/12/2022,1500
23/12/2022,1500
22/12/2022,1253
21/12/2022,1065
20/12/2022,854
19/12/2022,829
18/12/2022,885
17/12/2022,885
16/12/2022,885
15/12/2022,806
14/12/2022,754
13/12/2022,793
12/12/2022,809
11/12/2022,819
10/12/2022,819
09/12/2022,819
08/12/2022,717
07/12/2022,735
06/12/2022,715
05/12/2022,682
04/12/2022,758
03/12/2022,758
02/12/2022,758
01/12/2022,811
30/11/2022,866
29/11/2022,934
28/11/2022,950
27/11/2022,1010
26/11/2022,1010
25/11/2022,1010
24/11/2022,1084
23/11/2022,1114
22/11/2022,1156
21/11/2022,1149
20/11/2022,1143
19/11/2022,1143
18/11/2022,1143
17/11/2022,1103
16/11/2022,1075
15/11/2022,1042
14/11/2022,1047
13/11/2022,1041
12/11/2022,1041
11/11/2022,1041
10/11/2022,1042
09/11/2022,975
08/11/2022,958
07/11/2022,958
06/11/2022,990
05/11/2022,990
04/11/2022,990
03/11/2022,1039
02/11/2022,1018
01/11/2022,1044
31/10/2022,1090
30/10/2022,1096
29/10/2022,1096
28/10/2022,1096
27/10/2022,1090
26/10/2022,1098
25/10/2022,1098
24/10/2022,1055
23/10/2022,1164
22/10/2022,1164
21/10/2022,1164
20/10/2022,1099
19/10/2022,1103
18/10/2022,1096
17/10/2022,1142
16/10/2022,1127
15/10/2022,1127
14/10/2022,1127
13/10/2022,1105
12/10/2022,1048
11/10/2022,1034
10/10/2022,902
09/10/2022,839
08/10/2022,839
07/10/2022,839
06/10/2022,857
05/10/2022,955
04/10/2022,955
03/10/2022,1091
02/10/2022,1013
01/10/2022,1013
30/09/2022,1013
29/09/2022,1092
28/09/2022,1128
27/09/2022,1062
26/09/2022,1099
25/09/2022,747
24/09/2022,747
23/09/2022,747
22/09/2022,569
21/09/2022,565
20/09/2022,507
19/09/2022,543
18/09/2022,508
17/09/2022,508
16/09/2022,508
15/09/2022,356
14/09/2022,335
13/09/2022,296
12/09/2022,307
11/09/2022,330
10/09/2022,330
09/09/2022,330
08/09/2022,329
07/09/2022,343
06/09/2022,372
05/09/2022,374
04/09/2022,406
03/09/2022,406
02/09/2022,406
01/09/2022,395
31/08/2022,395
30/08/2022,395
29/08/2022,440
28/08/2022,384
27/08/2022,384
26/08/2022,384
25/08/2022,412
24/08/2022,423
23/08/2022,455
22/08/2022,504
21/08/2022,423
20/08/2022,423
19/08/2022,423
18/08/2022,405
17/08/2022,427
16/08/2022,475
15/08/2022,489
14/08/2022,489
13/08/2022,489
12/08/2022,489
11/08/2022,501
10/08/2022,494
09/08/2022,462
08/08/2022,462
07/08/2022,463
06/08/2022,463
05/08/2022,463
04/08/2022,463
03/08/2022,448
02/08/2022,392
01/08/2022,440
31/07/2022,541
30/07/2022,541
29/07/2022,541
28/07/2022,622
27/07/2022,671
26/07/2022,696
25/07/2022,594
24/07/2022,539
23/07/2022,539
22/07/2022,539
21/07/2022,567
20/07/2022,612
19/07/2022,678
18/07/2022,766
17/07/2022,917
16/07/2022,917
15/07/2022,917
14/07/2022,940
13/07/2022,900
12/07/2022,931
11/07/2022,947
10/07/2022,1059
09/07/2022,1059
08/07/2022,1059
07/07/2022,1098
06/07/2022,1209
05/07/2022,1296
04/07/2022,1311
03/07/2022,1397
02/07/2022,1397
01/07/2022,1397
30/06/2022,1411
29/06/2022,1411
28/06/2022,1414
27/06/2022,1462
26/06/2022,1527
25/06/2022,1527
24/06/2022,1527
23/06/2022,1575
22/06/2022,1610
21/06/2022,1601
20/06/2022,1649
19/06/2022,1603
18/06/2022,1603
17/06/2022,1603
16/06/2022,1589
15/06/2022,1513
14/06/2022,1530
13/06/2022,1532
12/06/2022,1403
11/06/2022,1403
10/06/2022,1403
09/06/2022,1368
08/06/2022,1383
07/06/2022,1367
06/06/2022,1350
05/06/2022,1337
04/06/2022,1337
03/06/2022,1337
02/06/2022,1289
01/06/2022,1340
31/05/2022,1370
30/05/2022,1398
29/05/2022,1458
28/05/2022,1458
27/05/2022,1458
26/05/2022,1499
25/05/2022,1527
24/05/2022,1414
23/05/2022,1361
22/05/2022,1336
21/05/2022,1336
20/05/2022,1336
19/05/2022,1438
18/05/2022,1331
17/05/2022,1370
16/05/2022,1462
15/05/2022,1526
14/05/2022,1526
13/05/2022,1526
12/05/2022,1571
11/05/2022,1501
10/05/2022,1400
09/05/2022,1286
08/05/2022,1177
07/05/2022,1177
06/05/2022,1177
05/05/2022,1018
04/05/2022,972
03/05/2022,776
02/05/2022,776
01/05/2022,692
30/04/2022,692
29/04/2022,692
28/04/2022,613
27/04/2022,624
26/04/2022,552
25/04/2022,630
24/04/2022,470
23/04/2022,470
22/04/2022,470
21/04/2022,442
20/04/2022,559
19/04/2022,584
18/04/2022,520
