date,count
27/04/2023,1573
26/04/2023,1579
25/04/2023,1314
24/04/2023,1296
23/04/2023,1351
22/04/2023,1351
21/04/2023,1351
20/04/2023,1266
19/04/2023,1309
18/04/2023,1234
17/04/2023,1349
16/04/2023,1363
15/04/2023,1363
14/04/2023,1363
13/04/2023,1463
12/04/2023,1474
11/04/2023,1606
10/04/2023,1753
09/04/2023,1929
08/04/2023,1929
07/04/2023,1929
06/04/2023,1960
05/04/2023,1643
04/04/2023,1186
03/04/2023,1131
02/04/2023,1343
01/04/2023,1343
31/03/2023,1343
30/03/2023,1435
29/03/2023,1432
28/03/2023,1736
27/03/2023,1635
26/03/2023,1734
25/03/2023,1734
24/03/2023,1734
23/03/2023,1780
22/03/2023,1847
21/03/2023,2207
20/03/2023,2207
19/03/2023,1753
18/03/2023,1753
17/03/2023,1753
16/03/2023,1961
15/03/2023,1621
14/03/2023,1834
13/03/2023,1235
12/03/2023,942
11/03/2023,942
10/03/2023,942
09/03/2023,752
08/03/2023,797
07/03/2023,836
06/03/2023,902
05/03/2023,955
04/03/2023,955
03/03/2023,955
02/03/2023,1079
01/03/2023,1084
28/02/2023,1103
27/02/2023,1155
26/02/2023,1209
25/02/2023,1209
24/02/2023,1209
23/02/2023,1329
22/02/2023,1329
21/02/2023,1181
20/02/2023,1197
19/02/2023,1326
18/02/2023,1326
17/02/2023,1326
16/02/2023,1287
15/02/2023,1457
14/02/2023,1318
13/02/2023,1486
12/02/2023,1377
11/02/2023,1377
10/02/2023,1377
09/02/2023,1301
08/02/2023,1373
07/02/2023,1435
06/02/2023,1461
05/02/2023,1598
04/02/2023,1598
03/02/2023,1598
02/02/2023,1474
01/02/2023,1370
31/01/2023,1367
30/01/2023,1501
29/01/2023,1439
28/01/2023,1439
27/01/2023,1439
26/01/2023,1426
25/01/2023,1433
24/01/2023,1553
23/01/2023,1796
22/01/2023,2092
21/01/2023,2092
20/01/2023,2092
19/01/2023,2254
18/01/2023,2204
17/01/2023,2461
16/01/2023,2611
15/01/2023,2531
14/01/2023,2531
13/01/2023,2531
12/01/2023,2442
11/01/2023,2353
10/01/2023,2539
09/01/2023,2635
08/01/2023,2635
07/01/2023,2635
06/01/2023,2635
05/01/2023,2698
04/01/2023,2629
03/01/2023,2362
02/01/2023,2362
01/01/2023,2362
31/12/2022,2362
30/12/2022,2362
29/12/2022,2406
28/12/2022,2456
27/12/2022,2418
26/12/2022,2543
25/12/2022,2570
24/12/2022,2570
23/12/2022,2570
22/12/2022,2444
21/12/2022,2626
20/12/2022,2462
19/12/2022,1957
18/12/2022,1843
17/12/2022,1843
16/12/2022,1843
15/12/2022,1586
14/12/2022,1599
13/12/2022,1727
12/12/2022,1765
11/12/2022,1733
10/12/2022,1733
09/12/2022,1733
08/12/2022,1919
07/12/2022,1841
06/12/2022,1909
05/12/2022,1822
04/12/2022,1767
03/12/2022,1767
02/12/2022,1767
01/12/2022,1400
30/11/2022,1342
29/11/2022,1202
28/11/2022,1130
27/11/2022,1111
26/11/2022,1111
25/11/2022,1111
24/11/2022,1177
23/11/2022,1421
22/11/2022,1421
21/11/2022,1644
20/11/2022,1746
19/11/2022,1746
18/11/2022,1746
17/11/2022,1801
16/11/2022,1965
15/11/2022,1992
14/11/2022,2014
13/11/2022,1831
12/11/2022,1831
11/11/2022,1831
10/11/2022,2103
09/11/2022,2023
08/11/2022,2012
07/11/2022,2217
06/11/2022,2389
05/11/2022,2389
04/11/2022,2389
03/11/2022,2185
02/11/2022,2185
01/11/2022,2152
31/10/2022,2146
30/10/2022,2439
29/10/2022,2439
28/10/2022,2439
27/10/2022,2327
26/10/2022,2206
25/10/2022,2348
24/10/2022,2529
23/10/2022,2530
22/10/2022,2530
21/10/2022,2530
20/10/2022,2420
19/10/2022,2324
18/10/2022,2417
17/10/2022,2642
16/10/2022,2519
15/10/2022,2519
14/10/2022,2519
13/10/2022,2845
12/10/2022,2712
11/10/2022,2721
10/10/2022,2387
09/10/2022,2387
08/10/2022,2387
07/10/2022,2387
06/10/2022,2263
05/10/2022,2425
04/10/2022,2426
03/10/2022,2928
02/10/2022,2892
01/10/2022,2892
30/09/2022,2892
29/09/2022,2719
28/09/2022,2820
27/09/2022,2696
26/09/2022,2739
25/09/2022,2238
24/09/2022,2238
23/09/2022,2238
22/09/2022,2238
21/09/2022,2202
20/09/2022,1955
19/09/2022,2084
18/09/2022,2084
17/09/2022,2084
16/09/2022,2084
15/09/2022,1892
14/09/2022,1887
13/09/2022,1536
12/09/2022,1559
11/09/2022,1671
10/09/2022,1671
09/09/2022,1671
08/09/2022,1778
07/09/2022,2158
06/09/2022,1929
05/09/2022,1934
04/09/2022,1869
03/09/2022,1869
02/09/2022,1869
01/09/2022,1748
31/08/2022,1402
30/08/2022,1333
29/08/2022,1497
28/08/2022,1165
27/08/2022,1165
26/08/2022,1165
25/08/2022,1175
24/08/2022,1271
23/08/2022,1362
22/08/2022,1244
21/08/2022,1212
20/08/2022,1212
19/08/2022,1212
18/08/2022,1277
17/08/2022,1195
16/08/2022,1405
15/08/2022,1400
14/08/2022,1355
13/08/2022,1355
12/08/2022,1355
11/08/2022,1642
10/08/2022,1642
09/08/2022,1535
08/08/2022,1404
07/08/2022,1341
06/08/2022,1341
05/08/2022,1341
04/08/2022,1491
03/08/2022,1521
02/08/2022,1382
01/08/2022,1081
31/07/2022,1251
30/07/2022,1251
29/07/2022,1251
28/07/2022,1123
27/07/2022,1152
26/07/2022,1138
25/07/2022,1222
24/07/2022,1131
23/07/2022,1131
22/07/2022,1131
21/07/2022,1139
20/07/2022,1325
19/07/2022,1685
18/07/2022,1797
17/07/2022,1797
16/07/2022,1797
15/07/2022,1797
14/07/2022,1709
13/07/2022,1790
12/07/2022,1941
11/07/2022,1554
10/07/2022,1877
09/07/2022,1877
08/07/2022,1877
07/07/2022,1886
06/07/2022,2013
05/07/2022,1836
04/07/2022,1891
03/07/2022,2129
02/07/2022,2129
01/07/2022,2129
30/06/2022,1888
29/06/2022,1654
28/06/2022,1586
27/06/2022,1846
26/06/2022,1998
25/06/2022,1998
24/06/2022,1998
23/06/2022,2207
22/06/2022,2309
21/06/2022,2252
20/06/2022,2674
19/06/2022,2483
18/06/2022,2483
17/06/2022,2483
16/06/2022,2215
15/06/2022,2333
14/06/2022,2095
13/06/2022,1921
12/06/2022,1617
11/06/2022,1617
10/06/2022,1617
09/06/2022,1348
08/06/2022,1431
07/06/2022,1642
06/06/2022,1691
05/06/2022,1765
04/06/2022,1765
03/06/2022,1765
02/06/2022,1818
01/06/2022,1743
31/05/2022,1985
30/05/2022,1904
29/05/2022,2222
28/05/2022,2222
27/05/2022,2222
26/05/2022,2306
25/05/2022,2355
24/05/2022,2311
23/05/2022,2067
22/05/2022,2281
21/05/2022,2281
20/05/2022,2281
19/05/2022,2451
18/05/2022,2329
17/05/2022,2434
16/05/2022,2461
15/05/2022,2411
14/05/2022,2411
13/05/2022,2411
12/05/2022,2786
11/05/2022,2531
10/05/2022,2434
09/05/2022,2315
08/05/2022,1947
07/05/2022,1947
06/05/2022,1947
05/05/2022,2133
04/05/2022,2133
03/05/2022,2133
02/05/2022,2133
01/05/2022,2179
30/04/2022,2179
29/04/2022,2179
28/04/2022,2179
