date,count
09/06/2022,984
09/05/2022,979
09/04/2022,1033
09/03/2022,1033
09/02/2022,1033
09/01/2022,1068
08/31/2022,1196
08/30/2022,1175
08/29/2022,1143
08/28/2022,1372
08/27/2022,1372
08/26/2022,1372
08/25/2022,1357
08/24/2022,1307
08/23/2022,1315
08/22/2022,1412
08/21/2022,1485
08/20/2022,1485
08/19/2022,1485
08/18/2022,1456
08/17/2022,1478
08/16/2022,1502
08/15/2022,1477
08/14/2022,1435
08/13/2022,1435
08/12/2022,1435
08/11/2022,1430
08/10/2022,1350
08/09/2022,1372
08/08/2022,1312
08/07/2022,1282
08/06/2022,1282
08/05/2022,1282
08/04/2022,1221
08/03/2022,1187
08/02/2022,1157
08/01/2022,1161
07/31/2022,1145
07/30/2022,1145
07/29/2022,1145
07/28/2022,1033
07/27/2022,886
07/26/2022,897
07/25/2022,896
07/24/2022,883
07/23/2022,883
07/22/2022,883
07/21/2022,817
07/20/2022,724
07/19/2022,608
07/18/2022,626
07/17/2022,544
07/16/2022,544
07/15/2022,544
07/14/2022,509
07/13/2022,482
07/12/2022,457
07/11/2022,443
07/10/2022,477
07/09/2022,477
07/08/2022,477
07/07/2022,430
07/06/2022,399
07/05/2022,339
07/04/2022,317
07/03/2022,245
07/02/2022,245
07/01/2022,245
06/30/2022,211
06/29/2022,225
06/28/2022,241
06/27/2022,227
06/26/2022,186
06/25/2022,186
06/24/2022,186
06/23/2022,144
06/22/2022,147
06/21/2022,149
06/20/2022,131
06/19/2022,146
06/18/2022,146
06/17/2022,146
06/16/2022,153
06/15/2022,151
06/14/2022,149
06/13/2022,259
06/12/2022,259
06/11/2022,259
06/10/2022,259
06/09/2022,302
06/08/2022,365
06/07/2022,328
06/06/2022,393
06/05/2022,423
06/04/2022,423
06/03/2022,423
06/02/2022,383
06/01/2022,424
05/31/2022,481
05/30/2022,472
05/29/2022,395
05/28/2022,395
05/27/2022,395
05/26/2022,377
05/25/2022,393
05/24/2022,380
05/23/2022,397
05/22/2022,408
05/21/2022,408
05/20/2022,408
05/19/2022,349
05/18/2022,416
05/17/2022,371
05/16/2022,349
05/15/2022,334
05/14/2022,334
05/13/2022,334
05/12/2022,289
05/11/2022,356
05/10/2022,342
05/09/2022,420
05/08/2022,562
05/07/2022,562
05/06/2022,562
05/05/2022,715
05/04/2022,636
05/03/2022,707
05/02/2022,749
05/01/2022,888
04/30/2022,888
04/29/2022,888
04/28/2022,843
04/27/2022,772
04/26/2022,869
04/25/2022,1023
04/24/2022,1023
04/23/2022,1023
04/22/2022,1023
04/21/2022,1074
04/20/2022,1068
04/19/2022,1046
04/18/2022,1051
04/17/2022,1051
04/16/2022,1051
04/15/2022,1051
04/14/2022,1051
04/13/2022,995
04/12/2022,952
04/11/2022,1016
04/10/2022,1047
04/09/2022,1047
04/08/2022,1047
04/07/2022,996
04/06/2022,1052
04/05/2022,1097
04/04/2022,1092
04/03/2022,1021
04/02/2022,1021
04/01/2022,1021
03/31/2022,1040
03/30/2022,950
03/29/2022,905
03/28/2022,851
03/27/2022,873
03/26/2022,873
03/25/2022,873
03/24/2022,830
03/23/2022,838
03/22/2022,775
03/21/2022,730
03/20/2022,705
03/19/2022,705
03/18/2022,705
03/17/2022,661
03/16/2022,576
03/15/2022,528
03/14/2022,584
03/13/2022,571
03/12/2022,571
03/11/2022,571
03/10/2022,572
03/09/2022,517
03/08/2022,459
03/07/2022,509
03/06/2022,542
03/05/2022,542
03/04/2022,542
03/03/2022,592
03/02/2022,548
03/01/2022,568
02/28/2022,514
02/27/2022,498
