date,count
09/03/2022,55
09/02/2022,55
09/01/2022,54
08/31/2022,42
08/30/2022,34
08/29/2022,42
08/28/2022,39
08/27/2022,39
08/26/2022,39
08/25/2022,31
08/24/2022,38
08/23/2022,50
08/22/2022,39
08/21/2022,30
08/20/2022,30
08/19/2022,30
08/18/2022,35
08/17/2022,35
08/16/2022,24
08/15/2022,22
08/14/2022,20
08/13/2022,20
08/12/2022,20
08/11/2022,21
08/10/2022,20
08/09/2022,24
08/08/2022,28
08/07/2022,30
08/06/2022,30
08/05/2022,30
08/04/2022,35
08/03/2022,25
08/02/2022,36
08/01/2022,33
07/31/2022,32
07/30/2022,32
07/29/2022,32
07/28/2022,31
07/27/2022,28
07/26/2022,23
07/25/2022,25
07/24/2022,20
07/23/2022,20
07/22/2022,20
07/21/2022,21
07/20/2022,18
07/19/2022,26
07/18/2022,30
07/17/2022,36
07/16/2022,36
07/15/2022,36
07/14/2022,27
07/13/2022,42
07/12/2022,41
07/11/2022,25
07/10/2022,24
07/09/2022,24
07/08/2022,24
07/07/2022,34
07/06/2022,35
07/05/2022,34
07/04/2022,49
07/03/2022,54
07/02/2022,54
07/01/2022,54
06/30/2022,59
06/29/2022,76
06/28/2022,83
06/27/2022,96
06/26/2022,119
06/25/2022,119
06/24/2022,119
06/23/2022,151
06/22/2022,96
06/21/2022,115
06/20/2022,271
06/19/2022,249
06/18/2022,249
06/17/2022,249
06/16/2022,247
06/15/2022,324
06/14/2022,292
06/13/2022,116
06/12/2022,116
06/11/2022,116
06/10/2022,116
06/09/2022,95
06/08/2022,63
06/07/2022,77
06/06/2022,54
06/05/2022,35
06/04/2022,35
06/03/2022,35
06/02/2022,33
06/01/2022,29
05/31/2022,25
05/30/2022,28
05/29/2022,36
05/28/2022,36
05/27/2022,36
05/26/2022,36
05/25/2022,43
05/24/2022,41
05/23/2022,27
05/22/2022,37
05/21/2022,37
05/20/2022,37
05/19/2022,37
05/18/2022,44
05/17/2022,49
05/16/2022,57
05/15/2022,95
05/14/2022,95
05/13/2022,95
05/12/2022,209
05/11/2022,98
05/10/2022,161
05/09/2022,142
05/08/2022,99
05/07/2022,99
05/06/2022,99
05/05/2022,75
05/04/2022,88
05/03/2022,72
05/02/2022,63
05/01/2022,49
04/30/2022,49
04/29/2022,49
04/28/2022,43
04/27/2022,45
04/26/2022,40
04/25/2022,23
04/24/2022,23
04/23/2022,23
04/22/2022,23
04/21/2022,27
04/20/2022,19
04/19/2022,23
04/18/2022,23
04/17/2022,23
04/16/2022,23
04/15/2022,23
04/14/2022,23
04/13/2022,30
04/12/2022,42
04/11/2022,40
04/10/2022,25
04/09/2022,25
04/08/2022,25
04/07/2022,23
04/06/2022,23
04/05/2022,22
04/04/2022,20
04/03/2022,16
04/02/2022,16
04/01/2022,16
03/31/2022,20
03/30/2022,20
03/29/2022,16
03/28/2022,17
03/27/2022,17
03/26/2022,17
03/25/2022,17
03/24/2022,13
03/23/2022,15
03/22/2022,11
03/21/2022,10
03/20/2022,11
03/19/2022,11
03/18/2022,11
03/17/2022,19
03/16/2022,29
03/15/2022,20
03/14/2022,26
03/13/2022,29
03/12/2022,29
03/11/2022,29
03/10/2022,28
03/09/2022,34
03/08/2022,49
03/07/2022,24
03/06/2022,27
03/05/2022,27
