date,count
09/01/2022,66
08/31/2022,82
08/30/2022,78
08/29/2022,55
08/28/2022,67
08/27/2022,67
08/26/2022,67
08/25/2022,72
08/24/2022,64
08/23/2022,57
08/22/2022,76
08/21/2022,95
08/20/2022,95
08/19/2022,95
08/18/2022,86
08/17/2022,105
08/16/2022,124
08/15/2022,134
08/14/2022,145
08/13/2022,145
08/12/2022,145
08/11/2022,171
08/10/2022,157
08/09/2022,170
08/08/2022,141
08/07/2022,104
08/06/2022,104
08/05/2022,104
08/04/2022,91
08/03/2022,120
08/02/2022,100
08/01/2022,121
07/31/2022,118
07/30/2022,118
07/29/2022,118
07/28/2022,127
07/27/2022,117
07/26/2022,127
07/25/2022,130
07/24/2022,146
07/23/2022,146
07/22/2022,146
07/21/2022,143
07/20/2022,116
07/19/2022,104
07/18/2022,85
07/17/2022,90
07/16/2022,90
07/15/2022,90
07/14/2022,92
07/13/2022,108
07/12/2022,121
07/11/2022,164
07/10/2022,203
07/09/2022,203
07/08/2022,203
07/07/2022,213
07/06/2022,175
07/05/2022,153
07/04/2022,122
07/03/2022,103
07/02/2022,103
07/01/2022,103
06/30/2022,80
06/29/2022,82
06/28/2022,78
06/27/2022,80
06/26/2022,48
06/25/2022,48
06/24/2022,48
06/23/2022,29
06/22/2022,33
06/21/2022,31
06/20/2022,12
06/19/2022,11
06/18/2022,11
06/17/2022,11
06/16/2022,16
06/15/2022,13
06/14/2022,10
06/13/2022,23
06/12/2022,23
06/11/2022,23
06/10/2022,23
06/09/2022,30
06/08/2022,35
06/07/2022,42
06/06/2022,45
06/05/2022,54
06/04/2022,54
06/03/2022,54
06/02/2022,45
06/01/2022,52
05/31/2022,73
05/30/2022,46
05/29/2022,41
05/28/2022,41
05/27/2022,41
05/26/2022,48
05/25/2022,45
05/24/2022,55
05/23/2022,74
05/22/2022,87
05/21/2022,87
05/20/2022,87
05/19/2022,63
05/18/2022,48
05/17/2022,50
05/16/2022,32
05/15/2022,15
05/14/2022,15
05/13/2022,15
05/12/2022,11
05/11/2022,15
05/10/2022,8
05/09/2022,16
05/08/2022,24
05/07/2022,24
05/06/2022,24
05/05/2022,29
05/04/2022,26
05/03/2022,36
05/02/2022,31
05/01/2022,36
04/30/2022,36
04/29/2022,36
04/28/2022,37
04/27/2022,36
04/26/2022,44
04/25/2022,68
04/24/2022,68
04/23/2022,68
04/22/2022,68
04/21/2022,78
04/20/2022,58
04/19/2022,60
04/18/2022,72
04/17/2022,72
04/16/2022,72
04/15/2022,72
04/14/2022,72
04/13/2022,62
04/12/2022,53
04/11/2022,66
04/10/2022,86
04/09/2022,86
04/08/2022,86
04/07/2022,86
04/06/2022,120
04/05/2022,134
04/04/2022,154
04/03/2022,101
04/02/2022,101
04/01/2022,101
03/31/2022,83
03/30/2022,69
03/29/2022,79
03/28/2022,83
03/27/2022,105
03/26/2022,105
03/25/2022,105
03/24/2022,119
03/23/2022,121
03/22/2022,94
03/21/2022,55
03/20/2022,50
03/19/2022,50
03/18/2022,50
03/17/2022,40
03/16/2022,43
03/15/2022,40
03/14/2022,54
03/13/2022,69
03/12/2022,69
03/11/2022,69
03/10/2022,53
03/09/2022,58
03/08/2022,57
03/07/2022,68
03/06/2022,67
03/05/2022,67
03/04/2022,67
