date,count
11/30/2021,746
11/29/2021,743
11/28/2021,925
11/27/2021,957
11/26/2021,1024
11/25/2021,722
11/24/2021,958
11/23/2021,948
11/22/2021,995
11/21/2021,918
11/20/2021,903
11/19/2021,988
11/18/2021,1053
11/17/2021,938
11/16/2021,955
11/15/2021,433
11/14/2021,373
11/13/2021,396
11/12/2021,432
11/11/2021,392
11/10/2021,444
11/09/2021,259
11/08/2021,214
11/07/2021,293
11/06/2021,550
11/05/2021,556
11/04/2021,505
11/03/2021,249
11/02/2021,327
11/01/2021,563
10/31/2021,389
10/30/2021,411
10/29/2021,424
10/28/2021,559
10/27/2021,730
10/26/2021,370
10/25/2021,296
10/24/2021,394
10/23/2021,278
10/22/2021,310
10/21/2021,320
10/20/2021,217
10/19/2021,288
10/18/2021,308
10/17/2021,247
10/16/2021,219
10/15/2021,199
10/14/2021,221
10/13/2021,269
10/12/2021,320
10/11/2021,262
10/10/2021,273
10/09/2021,214
10/08/2021,261
10/07/2021,266
10/06/2021,268
10/05/2021,276
10/04/2021,402
10/03/2021,386
10/02/2021,438
10/01/2021,508
09/30/2021,1005
09/29/2021,1044
09/28/2021,1062
09/27/2021,1038
09/26/2021,1011
09/25/2021,1017
09/24/2021,1020
09/23/2021,980
09/22/2021,1012
09/21/2021,1051
09/20/2021,1038
09/19/2021,870
09/18/2021,723
09/17/2021,857
09/16/2021,691
09/15/2021,482
09/14/2021,860
09/13/2021,919
09/12/2021,830
09/11/2021,893
09/10/2021,902
09/09/2021,852
09/08/2021,778
09/07/2021,800
09/06/2021,176
09/05/2021,188
09/04/2021,261
09/03/2021,284
09/02/2021,331
09/01/2021,277
08/31/2021,595
08/30/2021,667
08/29/2021,358
08/28/2021,349
08/27/2021,281
08/26/2021,559
08/25/2021,239
08/24/2021,304
08/23/2021,170
08/22/2021,175
08/21/2021,173
08/20/2021,142
08/19/2021,191
08/18/2021,256
08/17/2021,220
08/16/2021,150
08/15/2021,121
08/14/2021,106
08/13/2021,97
08/12/2021,143
08/11/2021,109
08/10/2021,109
08/09/2021,86
08/08/2021,109
08/07/2021,73
08/06/2021,95
08/05/2021,122
08/04/2021,127
08/03/2021,174
08/02/2021,136
08/01/2021,142
07/31/2021,102
07/30/2021,115
07/29/2021,156
07/28/2021,192
07/27/2021,184
07/26/2021,294
07/25/2021,368
07/24/2021,434
07/23/2021,515
07/22/2021,903
07/21/2021,948
07/20/2021,1006
07/19/2021,992
07/18/2021,954
07/17/2021,964
07/16/2021,964
07/15/2021,876
07/14/2021,810
07/13/2021,811
07/12/2021,746
07/11/2021,344
07/10/2021,576
07/09/2021,557
07/08/2021,645
07/07/2021,493
07/06/2021,544
07/05/2021,667
07/04/2021,422
07/03/2021,662
07/02/2021,852
07/01/2021,893
06/30/2021,712
06/29/2021,717
06/28/2021,955
06/27/2021,965
06/26/2021,1008
06/25/2021,1008
06/24/2021,970
06/23/2021,939
06/22/2021,960
06/21/2021,959
06/20/2021,888
06/19/2021,899
06/18/2021,891
06/17/2021,668
06/16/2021,675
06/15/2021,568
06/14/2021,532
06/13/2021,647
06/12/2021,849
06/11/2021,681
06/10/2021,660
06/09/2021,512
06/08/2021,826
06/07/2021,768
06/06/2021,649
06/05/2021,787
06/04/2021,769
06/03/2021,523
06/02/2021,801
06/01/2021,856
05/31/2021,859
05/30/2021,920
05/29/2021,933
05/28/2021,938
05/27/2021,912
05/26/2021,904
05/25/2021,930
05/24/2021,935
05/23/2021,954
05/22/2021,950
05/21/2021,945
05/20/2021,939
05/19/2021,955
05/18/2021,871
05/17/2021,886
05/16/2021,790
05/15/2021,798
05/14/2021,691
05/13/2021,745
05/12/2021,748
05/11/2021,373
05/10/2021,472
05/09/2021,292
05/08/2021,234
05/07/2021,273
05/06/2021,310
05/05/2021,298
05/04/2021,657
05/03/2021,271
05/02/2021,342
05/01/2021,313
04/30/2021,373
04/29/2021,637
04/28/2021,634
04/27/2021,624
04/26/2021,711
04/25/2021,812
04/24/2021,840
04/23/2021,771
04/22/2021,755
04/21/2021,694
04/20/2021,673
04/19/2021,697
04/18/2021,638
04/17/2021,336
04/16/2021,321
04/15/2021,229
04/14/2021,284
04/13/2021,213
04/12/2021,228
04/11/2021,191
04/10/2021,173
04/09/2021,174
04/08/2021,182
04/07/2021,434
04/06/2021,167
04/05/2021,137
04/04/2021,154
04/03/2021,199
04/02/2021,150
04/01/2021,157
03/31/2021,161
03/30/2021,143
03/29/2021,165
03/28/2021,404
03/27/2021,426
03/26/2021,439
03/25/2021,594
03/24/2021,538
03/23/2021,440
03/22/2021,416
03/21/2021,163
03/20/2021,141
03/19/2021,151
03/18/2021,135
03/17/2021,115
03/16/2021,143
03/15/2021,187
03/14/2021,149
03/13/2021,107
03/12/2021,181
03/11/2021,184
03/10/2021,217
03/09/2021,203
03/08/2021,270
03/07/2021,334
03/06/2021,590
03/05/2021,634
03/04/2021,647
03/03/2021,479
03/02/2021,668
03/01/2021,637
02/28/2021,745
02/27/2021,691
02/26/2021,713
02/25/2021,677
02/24/2021,463
02/23/2021,489
02/22/2021,232
02/21/2021,111
02/20/2021,111
02/19/2021,80
02/18/2021,83
02/17/2021,75
02/16/2021,80
02/15/2021,78
02/14/2021,73
02/13/2021,71
02/12/2021,72
02/11/2021,62
02/10/2021,84
02/09/2021,80
02/08/2021,65
02/07/2021,122
02/06/2021,108
02/05/2021,102
02/04/2021,151
02/03/2021,131
02/02/2021,177
02/01/2021,398
01/31/2021,429
01/30/2021,387
01/29/2021,427
01/28/2021,478
01/27/2021,630
01/26/2021,500
01/25/2021,506
01/24/2021,459
01/23/2021,502
01/22/2021,500
01/21/2021,668
01/20/2021,370
01/19/2021,235
01/18/2021,222
01/17/2021,244
01/16/2021,251
01/15/2021,275
01/14/2021,205
01/13/2021,238
01/12/2021,391
01/11/2021,321
01/10/2021,203
01/09/2021,145
01/08/2021,185
01/07/2021,164
01/06/2021,193
01/05/2021,284
01/04/2021,353
