date,count
11/30/2021,461
11/29/2021,464
11/28/2021,282
11/27/2021,248
11/26/2021,181
11/25/2021,483
11/24/2021,247
11/23/2021,257
11/22/2021,210
11/21/2021,287
11/20/2021,302
11/19/2021,217
11/18/2021,152
11/17/2021,267
11/16/2021,250
11/15/2021,772
11/14/2021,830
11/13/2021,807
11/12/2021,769
11/11/2021,808
11/10/2021,756
11/09/2021,941
11/08/2021,986
11/07/2021,907
11/06/2021,650
11/05/2021,644
11/04/2021,695
11/03/2021,951
11/02/2021,873
11/01/2021,637
10/31/2021,811
10/30/2021,789
10/29/2021,773
10/28/2021,637
10/27/2021,463
10/26/2021,812
10/25/2021,884
10/24/2021,784
10/23/2021,887
10/22/2021,854
10/21/2021,843
10/20/2021,945
10/19/2021,874
10/18/2021,854
10/17/2021,915
10/16/2021,942
10/15/2021,962
10/14/2021,939
10/13/2021,885
10/12/2021,827
10/11/2021,877
10/10/2021,866
10/09/2021,925
10/08/2021,878
10/07/2021,873
10/06/2021,870
10/05/2021,862
10/04/2021,736
10/03/2021,752
10/02/2021,699
10/01/2021,628
09/30/2021,131
09/29/2021,92
09/28/2021,74
09/27/2021,92
09/26/2021,118
09/25/2021,112
09/24/2021,108
09/23/2021,148
09/22/2021,116
09/21/2021,77
09/20/2021,90
09/19/2021,258
09/18/2021,405
09/17/2021,269
09/16/2021,434
09/15/2021,642
09/14/2021,260
09/13/2021,189
09/12/2021,254
09/11/2021,191
09/10/2021,182
09/09/2021,232
09/08/2021,306
09/07/2021,284
09/06/2021,908
09/05/2021,896
09/04/2021,820
09/03/2021,797
09/02/2021,750
09/01/2021,804
08/31/2021,486
08/30/2021,414
08/29/2021,723
08/28/2021,732
08/27/2021,800
08/26/2021,522
08/25/2021,840
08/24/2021,775
08/23/2021,909
08/22/2021,904
08/21/2021,906
08/20/2021,937
08/19/2021,888
08/18/2021,823
08/17/2021,859
08/16/2021,929
08/15/2021,958
08/14/2021,973
08/13/2021,982
08/12/2021,936
08/11/2021,970
08/10/2021,970
08/09/2021,993
08/08/2021,970
08/07/2021,1006
08/06/2021,984
08/05/2021,954
08/04/2021,949
08/03/2021,902
08/02/2021,940
08/01/2021,934
07/31/2021,974
07/30/2021,961
07/29/2021,919
07/28/2021,883
07/27/2021,891
07/26/2021,781
07/25/2021,707
07/24/2021,641
07/23/2021,559
07/22/2021,170
07/21/2021,125
07/20/2021,67
07/19/2021,81
07/18/2021,119
07/17/2021,109
07/16/2021,109
07/15/2021,195
07/14/2021,261
07/13/2021,260
07/12/2021,325
07/11/2021,727
07/10/2021,495
07/09/2021,513
07/08/2021,425
07/07/2021,577
07/06/2021,526
07/05/2021,403
07/04/2021,648
07/03/2021,408
07/02/2021,218
07/01/2021,177
06/30/2021,358
06/29/2021,353
06/28/2021,115
06/27/2021,105
06/26/2021,62
06/25/2021,48
06/24/2021,85
06/23/2021,67
06/22/2021,46
06/21/2021,47
06/20/2021,118
06/19/2021,107
06/18/2021,115
06/17/2021,333
06/16/2021,326
06/15/2021,433
06/14/2021,464
06/13/2021,349
06/12/2021,147
06/11/2021,315
06/10/2021,336
06/09/2021,484
06/08/2021,170
06/07/2021,228
06/06/2021,347
06/05/2021,209
06/04/2021,227
06/03/2021,473
06/02/2021,194
06/01/2021,138
05/31/2021,135
05/30/2021,72
05/29/2021,59
05/28/2021,53
05/27/2021,79
05/26/2021,87
05/25/2021,60
05/24/2021,55
05/23/2021,36
05/22/2021,40
05/21/2021,45
05/20/2021,51
05/19/2021,35
05/18/2021,119
05/17/2021,104
05/16/2021,200
05/15/2021,192
05/14/2021,299
05/13/2021,244
05/12/2021,240
05/11/2021,615
05/10/2021,516
05/09/2021,695
05/08/2021,753
05/07/2021,697
05/06/2021,659
05/05/2021,671
05/04/2021,312
05/03/2021,698
05/02/2021,627
05/01/2021,656
04/30/2021,595
04/29/2021,331
04/28/2021,334
04/27/2021,344
04/26/2021,257
04/25/2021,156
04/24/2021,128
04/23/2021,197
04/22/2021,213
04/21/2021,274
04/20/2021,294
04/19/2021,270
04/18/2021,328
04/17/2021,629
04/16/2021,644
04/15/2021,735
04/14/2021,680
04/13/2021,751
