date,count
11/30/2021,726
11/29/2021,717
11/28/2021,727
11/27/2021,896
11/26/2021,943
11/25/2021,647
11/24/2021,720
11/23/2021,692
11/22/2021,849
11/21/2021,643
11/20/2021,486
11/19/2021,682
11/18/2021,875
11/17/2021,413
11/16/2021,438
11/15/2021,290
11/14/2021,248
11/13/2021,262
11/12/2021,267
11/11/2021,242
11/10/2021,256
11/09/2021,186
11/08/2021,161
11/07/2021,197
11/06/2021,242
11/05/2021,260
11/04/2021,237
11/03/2021,224
11/02/2021,257
11/01/2021,294
10/31/2021,305
10/30/2021,332
10/29/2021,340
10/28/2021,422
10/27/2021,482
10/26/2021,338
10/25/2021,291
10/24/2021,364
10/23/2021,317
10/22/2021,347
10/21/2021,365
10/20/2021,304
10/19/2021,393
10/18/2021,423
10/17/2021,405
10/16/2021,403
10/15/2021,408
10/14/2021,424
10/13/2021,461
10/12/2021,513
10/11/2021,482
10/10/2021,504
10/09/2021,453
10/08/2021,488
10/07/2021,505
10/06/2021,485
10/05/2021,512
10/04/2021,576
10/03/2021,568
10/02/2021,585
10/01/2021,622
09/30/2021,948
09/29/2021,975
09/28/2021,975
09/27/2021,965
09/26/2021,945
09/25/2021,937
09/24/2021,918
09/23/2021,864
09/22/2021,885
09/21/2021,953
09/20/2021,883
09/19/2021,459
09/18/2021,419
09/17/2021,435
09/16/2021,372
09/15/2021,317
09/14/2021,389
09/13/2021,627
09/12/2021,365
09/11/2021,537
09/10/2021,532
09/09/2021,340
09/08/2021,327
09/07/2021,282
09/06/2021,108
09/05/2021,122
09/04/2021,133
09/03/2021,123
09/02/2021,137
09/01/2021,107
08/31/2021,141
08/30/2021,142
08/29/2021,125
08/28/2021,120
08/27/2021,115
08/26/2021,152
08/25/2021,118
08/24/2021,129
08/23/2021,101
08/22/2021,104
08/21/2021,111
08/20/2021,95
08/19/2021,104
08/18/2021,138
08/17/2021,124
08/16/2021,110
08/15/2021,101
08/14/2021,97
08/13/2021,91
08/12/2021,122
08/11/2021,99
08/10/2021,115
08/09/2021,97
08/08/2021,141
08/07/2021,122
08/06/2021,150
08/05/2021,196
08/04/2021,231
08/03/2021,322
08/02/2021,306
08/01/2021,318
07/31/2021,287
07/30/2021,322
07/29/2021,399
07/28/2021,449
07/27/2021,459
07/26/2021,539
07/25/2021,575
07/24/2021,750
07/23/2021,834
07/22/2021,878
07/21/2021,897
07/20/2021,938
07/19/2021,923
07/18/2021,898
07/17/2021,901
07/16/2021,904
07/15/2021,881
07/14/2021,859
07/13/2021,871
07/12/2021,858
07/11/2021,825
07/10/2021,838
07/09/2021,846
07/08/2021,865
07/07/2021,815
07/06/2021,829
07/05/2021,870
07/04/2021,850
07/03/2021,869
07/02/2021,891
07/01/2021,901
06/30/2021,879
06/29/2021,888
06/28/2021,906
06/27/2021,912
06/26/2021,935
06/25/2021,944
06/24/2021,920
06/23/2021,927
06/22/2021,940
06/21/2021,939
06/20/2021,904
06/19/2021,916
06/18/2021,915
06/17/2021,893
06/16/2021,896
06/15/2021,881
06/14/2021,876
06/13/2021,878
06/12/2021,905
06/11/2021,903
06/10/2021,897
06/09/2021,882
06/08/2021,906
06/07/2021,901
06/06/2021,866
06/05/2021,870
06/04/2021,869
06/03/2021,844
06/02/2021,871
06/01/2021,883
05/31/2021,878
05/30/2021,910
05/29/2021,914
05/28/2021,915
05/27/2021,893
05/26/2021,837
05/25/2021,903
05/24/2021,897
05/23/2021,919
05/22/2021,912
05/21/2021,896
05/20/2021,844
05/19/2021,910
05/18/2021,744
05/17/2021,761
05/16/2021,707
05/15/2021,706
05/14/2021,637
05/13/2021,671
05/12/2021,677
05/11/2021,493
05/10/2021,587
05/09/2021,344
05/08/2021,313
05/07/2021,323
05/06/2021,487
05/05/2021,321
05/04/2021,577
05/03/2021,274
05/02/2021,443
05/01/2021,278
04/30/2021,290
04/29/2021,489
04/28/2021,473
04/27/2021,450
04/26/2021,504
04/25/2021,649
04/24/2021,643
04/23/2021,589
04/22/2021,559
04/21/2021,452
04/20/2021,346
04/19/2021,418
04/18/2021,298
04/17/2021,136
04/16/2021,126
04/15/2021,98
04/14/2021,104
04/13/2021,87
04/12/2021,103
04/11/2021,98
04/10/2021,92
04/09/2021,102
04/08/2021,106
04/07/2021,141
04/06/2021,106
04/05/2021,95
04/04/2021,112
04/03/2021,145
04/02/2021,119
04/01/2021,129
03/31/2021,138
03/30/2021,132
03/29/2021,132
03/28/2021,198
03/27/2021,208
03/26/2021,198
03/25/2021,283
03/24/2021,258
03/23/2021,206
03/22/2021,201
03/21/2021,125
03/20/2021,116
03/19/2021,117
03/18/2021,117
03/17/2021,94
03/16/2021,111
03/15/2021,129
03/14/2021,118
03/13/2021,88
03/12/2021,117
03/11/2021,124
03/10/2021,126
03/09/2021,104
03/08/2021,107
03/07/2021,124
03/06/2021,145
03/05/2021,196
03/04/2021,174
03/03/2021,137
03/02/2021,188
03/01/2021,138
02/28/2021,246
02/27/2021,204
02/26/2021,225
02/25/2021,191
02/24/2021,111
02/23/2021,132
02/22/2021,80
02/21/2021,71
02/20/2021,78
02/19/2021,56
02/18/2021,66
02/17/2021,57
02/16/2021,68
02/15/2021,73
02/14/2021,72
02/13/2021,68
02/12/2021,73
02/11/2021,68
02/10/2021,86
02/09/2021,77
02/08/2021,80
02/07/2021,134
02/06/2021,119
02/05/2021,118
02/04/2021,159
02/03/2021,147
02/02/2021,172
02/01/2021,211
01/31/2021,224
01/30/2021,212
01/29/2021,233
01/28/2021,256
01/27/2021,364
01/26/2021,266
01/25/2021,280
01/24/2021,248
01/23/2021,296
01/22/2021,287
01/21/2021,369
01/20/2021,221
01/19/2021,236
01/18/2021,222
01/17/2021,249
01/16/2021,250
01/15/2021,289
01/14/2021,253
01/13/2021,264
01/12/2021,355
01/11/2021,329
01/10/2021,229
01/09/2021,191
01/08/2021,226
01/07/2021,226
01/06/2021,241
01/05/2021,321
01/04/2021,352
