date,count
05/23/2022,206
05/22/2022,342
05/21/2022,342
05/20/2022,342
05/19/2022,155
05/18/2022,325
05/17/2022,302
05/16/2022,270
05/15/2022,381
05/14/2022,381
05/13/2022,381
05/12/2022,131
05/11/2022,266
05/10/2022,151
05/09/2022,91
05/08/2022,96
05/07/2022,96
05/06/2022,96
05/05/2022,339
05/04/2022,105
05/03/2022,166
05/02/2022,114
05/01/2022,276
04/30/2022,276
04/29/2022,276
04/28/2022,255
04/27/2022,143
04/26/2022,111
04/25/2022,147
04/24/2022,147
04/23/2022,147
04/22/2022,147
04/21/2022,188
04/20/2022,180
04/19/2022,250
04/18/2022,253
04/17/2022,253
04/16/2022,253
04/15/2022,253
04/14/2022,253
04/13/2022,295
04/12/2022,146
04/11/2022,172
04/10/2022,270
04/09/2022,270
04/08/2022,270
04/07/2022,173
04/06/2022,189
04/05/2022,224
04/04/2022,334
04/03/2022,272
04/02/2022,272
04/01/2022,272
03/31/2022,262
03/30/2022,237
03/29/2022,229
03/28/2022,169
03/27/2022,238
03/26/2022,238
03/25/2022,238
03/24/2022,214
03/23/2022,270
03/22/2022,245
03/21/2022,232
03/20/2022,289
03/19/2022,289
03/18/2022,289
03/17/2022,329
03/16/2022,207
03/15/2022,134
03/14/2022,202
03/13/2022,224
03/12/2022,224
03/11/2022,224
03/10/2022,284
03/09/2022,341
03/08/2022,138
03/07/2022,202
03/06/2022,162
03/05/2022,162
03/04/2022,162
03/03/2022,312
03/02/2022,252
